driver_id,vehicle_type,driver_partner_type
133,Motorcycle,Partner Fleet
138,Motorcycle,Independent Driver
140,Motorcycle,Independent Driver
143,Bicycle,Independent Driver
148,Motorcycle,Independent Driver
165,Motorcycle,Independent Driver
172,Motorcycle,Independent Driver
174,Bicycle,Independent Driver
187,Bicycle,Independent Driver
196,Bicycle,Independent Driver
202,Bicycle,Independent Driver
210,Motorcycle,Independent Driver
217,Motorcycle,Partner Fleet
223,Motorcycle,Independent Driver
224,Bicycle,Independent Driver
225,Motorcycle,Partner Fleet
228,Motorcycle,Independent Driver
231,Motorcycle,Partner Fleet
243,Motorcycle,Partner Fleet
245,Motorcycle,Independent Driver
298,Motorcycle,Partner Fleet
301,Motorcycle,Partner Fleet
303,Motorcycle,Partner Fleet
313,Motorcycle,Partner Fleet
319,Motorcycle,Independent Driver
340,Motorcycle,Independent Driver
343,Bicycle,Independent Driver
344,Bicycle,Independent Driver
345,Motorcycle,Independent Driver
350,Motorcycle,Independent Driver
356,Motorcycle,Partner Fleet
357,Motorcycle,Partner Fleet
358,Motorcycle,Partner Fleet
366,Motorcycle,Independent Driver
367,Motorcycle,Partner Fleet
369,Bicycle,Independent Driver
372,Motorcycle,Independent Driver
378,Motorcycle,Independent Driver
379,Motorcycle,Partner Fleet
380,Motorcycle,Partner Fleet
387,Motorcycle,Partner Fleet
388,Motorcycle,Partner Fleet
390,Motorcycle,Independent Driver
407,Bicycle,Independent Driver
409,Motorcycle,Independent Driver
410,Bicycle,Independent Driver
413,Bicycle,Independent Driver
414,Bicycle,Independent Driver
415,Bicycle,Independent Driver
416,Bicycle,Independent Driver
425,Bicycle,Independent Driver
426,Bicycle,Independent Driver
430,Bicycle,Independent Driver
446,Motorcycle,Independent Driver
448,Motorcycle,Independent Driver
454,Motorcycle,Independent Driver
456,Motorcycle,Independent Driver
457,Motorcycle,Independent Driver
458,Motorcycle,Independent Driver
459,Motorcycle,Independent Driver
463,Motorcycle,Partner Fleet
464,Motorcycle,Partner Fleet
466,Motorcycle,Independent Driver
474,Motorcycle,Independent Driver
475,Motorcycle,Partner Fleet
480,Motorcycle,Partner Fleet
484,Motorcycle,Independent Driver
488,Motorcycle,Independent Driver
491,Motorcycle,Partner Fleet
494,Motorcycle,Partner Fleet
497,Motorcycle,Partner Fleet
508,Motorcycle,Independent Driver
509,Motorcycle,Independent Driver
510,Motorcycle,Independent Driver
511,Motorcycle,Partner Fleet
512,Motorcycle,Independent Driver
526,Motorcycle,Partner Fleet
529,Bicycle,Independent Driver
530,Bicycle,Independent Driver
532,Bicycle,Independent Driver
539,Motorcycle,Independent Driver
545,Motorcycle,Partner Fleet
546,Motorcycle,Partner Fleet
564,Motorcycle,Partner Fleet
574,Motorcycle,Partner Fleet
581,Motorcycle,Independent Driver
583,Bicycle,Independent Driver
596,Motorcycle,Independent Driver
598,Motorcycle,Partner Fleet
599,Motorcycle,Independent Driver
612,Motorcycle,Partner Fleet
617,Motorcycle,Partner Fleet
619,Motorcycle,Independent Driver
620,Motorcycle,Partner Fleet
622,Motorcycle,Partner Fleet
625,Motorcycle,Partner Fleet
626,Motorcycle,Partner Fleet
627,Motorcycle,Partner Fleet
632,Bicycle,Independent Driver
633,Bicycle,Independent Driver
639,Motorcycle,Partner Fleet
642,Motorcycle,Independent Driver
650,Motorcycle,Partner Fleet
651,Motorcycle,Partner Fleet
653,Motorcycle,Partner Fleet
655,Motorcycle,Partner Fleet
660,Motorcycle,Partner Fleet
664,Motorcycle,Partner Fleet
688,Motorcycle,Partner Fleet
690,Motorcycle,Partner Fleet
711,Motorcycle,Partner Fleet
713,Motorcycle,Independent Driver
726,Bicycle,Independent Driver
730,Motorcycle,Partner Fleet
731,Motorcycle,Independent Driver
738,Motorcycle,Independent Driver
746,Motorcycle,Partner Fleet
749,Motorcycle,Partner Fleet
754,Motorcycle,Partner Fleet
758,Motorcycle,Independent Driver
759,Motorcycle,Independent Driver
760,Motorcycle,Independent Driver
771,Motorcycle,Independent Driver
775,Motorcycle,Independent Driver
787,Motorcycle,Partner Fleet
788,Motorcycle,Independent Driver
789,Motorcycle,Independent Driver
794,Bicycle,Independent Driver
800,Motorcycle,Independent Driver
801,Motorcycle,Independent Driver
809,Motorcycle,Independent Driver
810,Motorcycle,Independent Driver
812,Motorcycle,Partner Fleet
831,Motorcycle,Independent Driver
839,Motorcycle,Independent Driver
858,Motorcycle,Independent Driver
862,Motorcycle,Partner Fleet
874,Motorcycle,Independent Driver
886,Motorcycle,Independent Driver
888,Motorcycle,Independent Driver
891,Motorcycle,Independent Driver
896,Motorcycle,Partner Fleet
900,Motorcycle,Independent Driver
901,Motorcycle,Independent Driver
902,Motorcycle,Partner Fleet
906,Motorcycle,Independent Driver
908,Motorcycle,Independent Driver
913,Bicycle,Independent Driver
921,Bicycle,Independent Driver
922,Bicycle,Independent Driver
928,Bicycle,Independent Driver
938,Bicycle,Independent Driver
939,Motorcycle,Independent Driver
941,Motorcycle,Independent Driver
